Fecha Desde; Fecha Hasta; Código Variedad; Descripción Variedad; Origen; Descripción Origen; Kilos; Precio Más Frecuente; Precio Máximo; Precio Mínimo
20230101;20230131; CA 0101; VACUNO CANAL                  ;1; ALAVA               ;20105;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;6; BADAJOZ             ;7452;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;8; BARCELONA           ;206752;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;10; CACERES             ;1270149;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;14; CORDOBA             ;38580;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;15; LA CORUÑA           ;20320;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;17; GERONA              ;46992;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;19; GUADALAJARA         ;39785;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;24; LEON                ;22980;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;25; LERIDA              ;66033;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;27; LUGO                ;73920;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;28; MADRID              ;1059663;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;30; MURCIA              ;20700;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;31; NAVARRA             ;17892;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;32; ORENSE              ;32740;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;33; ASTURIAS            ;138177;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;36; PONTEVEDRA          ;130520;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;37; SALAMANCA           ;151240;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;39; CANTABRIA           ;7845;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;40; SEGOVIA             ;4400;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;41; SEVILLA             ;59132;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;45; TOLEDO              ;854430;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;46; VALENCIA            ;165525;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;47; VALLADOLID          ;130064;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;49; ZAMORA              ;53469;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;50; ZARAGOZA            ;35344;5,92;5,92;5,92
20230101;20230131; CA 0101; VACUNO CANAL                  ;60; FRANCIA             ;234321;5,92;5,92;5,92
